T-T0_days,filter,mag_corr,magerr_corr,corrected_flux_ujy,flux_err_ujy,Freq (Hz)
0.001296169998,bessellr,,17.42,,391.1809076,4.68E+14
0.001435170001,bessellr,,17.25,,457.4858332,4.68E+14
0.001574169997,bessellr,16.85,0.40,661.2682179,243.6202146,4.68E+14
0.001713170001,bessellr,17.05,0.40,550.0189466,202.6344684,4.68E+14
0.001775414596,uvot::v,17.48,0.45,369.2107086,154.4474588,uvot::v
0.001852169997,bessellr,16.85,0.40,661.2682179,243.6202146,4.68E+14
0.002669169997,bessellr,17.27,0.16,447.0968911,67.07634256,4.68E+14
0.003139169996,bessellr,17.63,0.23,321.1836673,68.23935799,4.68E+14
0.003589169995,bessellr,18.16,0.37,197.4712233,67.94348891,4.68E+14
0.004049169998,bessellr,18.04,0.32,220.5601114,65.94229133,4.68E+14
0.005009169996,bessellr,17.50,0.12,362.4558992,40.55697732,4.68E+14
0.00615917,bessellr,17.59,0.13,334.2784383,41.14119299,4.68E+14
0.007309169996,bessellr,17.38,0.10,405.3938953,39.19348711,4.68E+14
0.008149169997,bessellr,17.13,0.14,511.0333299,65.39864886,4.68E+14
0.008819169998,bessellr,17.09,0.08,530.0345851,38.14636791,4.68E+14
0.009969170002,bessellr,16.95,0.07,603.6269377,37.64924595,4.68E+14
0.01111917,bessellr,16.99,0.07,581.7183673,37.62417478,4.68E+14
0.01226917,bessellr,16.71,0.09,750.7463095,62.24609594,4.68E+14
0.01284917,bessellr,16.94,0.05,607.5732386,27.57579068,4.68E+14
0.0145742863,uvot::white,18.04,0.06,220.5414484,12.18757084,uvot::white
0.01503917,bessellr,16.85,0.04,659.3758192,26.55076841,4.68E+14
0.0156492613,uvot::v,16.64,0.21,804.8280218,156.6659476,uvot::v
0.01638917,bessellr,16.70,0.07,757.3057843,50.80804529,4.68E+14
0.0168163282,uvot::b,16.97,0.17,589.662348,92.91314843,uvot::b
0.0171010211,uvot::white,17.99,0.10,232.3940596,22.33020025,uvot::white
0.01721917,bessellr,16.86,0.05,656.8468969,28.14193022,4.68E+14
0.01724167,uvot::uvw1,19.34,0.35,66.48776125,21.24824592,uvot::uvw1
0.0175293,uvot::u,17.87,0.14,257.6581131,34.05455791,uvot::u
0.0176730424,uvot::v,16.88,0.27,643.9086939,161.9612877,uvot::v
0.0188280483,uvot::b,16.73,0.16,738.158793,108.2184454,uvot::b
0.0191081452,uvot::white,18.01,0.12,226.250018,24.12189126,uvot::white
0.01981917,bessellr,16.79,0.07,698.8398309,45.05586896,4.68E+14
0.01997917,bessellb,17.14,0.07,505.0107982,32.5592494,6.84E+14
0.02053917,bessellr,16.70,0.05,759.2374991,34.96417895,4.68E+14
0.02055917,bessellv,16.93,0.04,614.3956949,22.63517389,5.51E+14
0.0208212493,uvot::b,17.13,0.23,512.7430677,108.9988446,uvot::b
0.0211157782,uvot::white,17.95,0.12,240.4966452,26.5988084,uvot::white
0.02125647,uvot::uvw1,19.15,0.36,79.53599341,26.42042361,uvot::uvw1
0.02126917,besselli,16.64,0.07,803.1452844,51.78069006,3.76E+14
0.0214088394,uvot::uvw2,,20.81,,17.17027603,uvot::uvw2
0.02153578,uvot::u,17.61,0.16,327.7961301,49.1968238,uvot::u
0.0216987737,uvot::v,17.36,0.44,413.6492954,166.6843444,uvot::v
0.02178917,bessellb,17.11,0.05,522.0362537,24.04065792,6.84E+14
0.02213917,bessellr,16.74,0.06,733.9940993,40.56201291,4.68E+14
0.02253917,bessellv,16.86,0.03,654.1060467,18.07361799,5.51E+14
0.02427917,bessellr,16.75,0.06,727.2648009,40.19013814,4.68E+14
